business_day,hour_business,ds,deviation_up_prob,deviation_down_prob,deviation_large_abs_prob,deviation_risk_score,spike_prob,extreme_spike_prob,spike_risk_score,negative_prob,deep_negative_prob,negative_risk_score,risk_feature_version,metric_alignment_status
2026-02-14,18,2026-02-14 18:00:00,0.0282912659915698,0.1300388758628403,0.1481449356698981,0.0072137180075148,0.0257731512120781,0.0015851461985131,0.0116821451066286,0.0042092258637238,9.870831016703771e-05,0.0057478142190358,v1.0.0,PASS
2026-02-14,19,2026-02-14 19:00:00,0.0284045225063795,0.1865144588123694,0.1359233147537447,0.035235851776666,0.0093703234272561,0.001033661233984,0.0056917863721568,0.0095739983001486,9.870831016703771e-05,0.0083083420876079,v1.0.0,PASS
2026-02-14,20,2026-02-14 20:00:00,0.0526791560654111,0.3520385202758351,0.1799113304162857,0.0795327154955952,0.0057030711658558,0.0010145583132096,0.0049612798034064,0.0113199422424273,9.870831016703771e-05,0.0144762962923396,v1.0.0,PASS
2026-02-14,21,2026-02-14 21:00:00,0.0218746997446143,0.3995509354305109,0.2040338789518901,0.1107693334552707,0.0054780800742287,0.0007527081923563,0.0037518117937455,0.0433644116019774,9.870831016703771e-05,0.031357318605781,v1.0.0,PASS
2026-02-14,22,2026-02-14 22:00:00,0.0459727385252837,0.4577316552634023,0.4292185078757585,0.0944965705597853,0.0040688756583912,0.0006051486482905,0.0046393510889641,0.0541773980240355,9.8711419131953e-05,0.0354637779302787,v1.0.0,PASS
2026-02-14,23,2026-02-14 23:00:00,0.0762333122289095,0.3981156372878479,0.3888356755523948,0.0796522255435467,0.0047115449535772,0.0002669629124191,0.0052962928695122,0.0887833493900855,0.0001040029740144,0.0441907527786868,v1.0.0,PASS
2026-02-14,24,2026-02-15 00:00:00,0.0422625235871866,0.2751574698660521,0.230006247220943,0.0541210659654644,0.0011864546697354,0.0003057494009521,0.002617775158083,0.1044581930023254,9.147800360793035e-05,0.0556760743482779,v1.0.0,PASS
2026-02-15,1,2026-02-15 01:00:00,0.0782698489667177,0.0002624107359425,0.0583233544360495,0.0041758642289892,0.0005931436830749,0.0001593452380116,0.0037840667837392,0.7384013814660696,9.147800360793035e-05,0.2215608714090194,v1.0.0,PASS
2026-02-15,2,2026-02-15 02:00:00,0.0985421818127591,0.0003794405263644,0.0390760775190278,0.0019486821661228,0.0005434817523546,0.0001593452380116,0.008140779064212,0.8372410312652149,9.147800360793035e-05,0.251213246720102,v1.0.0,PASS
2026-02-15,3,2026-02-15 03:00:00,0.0952473591665138,0.0002487284877064,0.0202136141969742,0.0021260566784287,0.0005557722297177,0.0001593452380116,0.0037941508297878,0.8112048257412422,9.147800360793035e-05,0.2434023004451391,v1.0.0,PASS
2026-02-15,4,2026-02-15 04:00:00,0.0344185523550533,0.0002760212145569,0.0119318050542769,0.0001195920841963,0.0005299160900462,0.0001593430241796,0.0050240819312198,0.7474523578059614,9.147800360793035e-05,0.2242772668535362,v1.0.0,PASS
2026-02-15,5,2026-02-15 05:00:00,0.0221288674460713,0.0002944688328261,0.0282114877926749,0.0017815883762196,0.0005328997584551,0.0002227101771459,0.005972284038196,0.7074547022734312,9.147800360793035e-05,0.2122779783678471,v1.0.0,PASS
2026-02-15,6,2026-02-15 06:00:00,0.0422812735869767,0.0003054711261708,0.039371521252208,0.0048948139337536,0.0005832489318604,0.0001596225759097,0.0102186271455822,0.7475235859355255,9.147800360793035e-05,0.2242993554063327,v1.0.0,PASS
2026-02-15,7,2026-02-15 07:00:00,0.0747193852863658,0.0001722633078739,0.0636137068070893,0.0134620904701302,0.0007623342430863,0.0001596225759097,0.0154845715548726,0.6935290715589295,9.57376531239845e-05,0.2081031775064677,v1.0.0,PASS
2026-02-15,8,2026-02-15 08:00:00,0.0599467728769309,0.000172891627361,0.0235051228929502,0.0094937915285789,0.0007067555207305,0.0002421261837998,0.0098181605529928,0.7238288598111351,9.574603200558852e-05,0.2171923981768659,v1.0.0,PASS
2026-02-15,9,2026-02-15 09:00:00,0.0028655003301893,0.0001368468559185,0.0037230946124922,1.6714402601210592e-05,0.0013657829635375,0.0002060036293683,0.0093435491218079,0.8226164098541583,9.574603200558852e-05,0.2468268639056154,v1.0.0,PASS
2026-02-15,10,2026-02-15 10:00:00,0.0012255621508587,0.000471061159672,0.0014272936867832,8.171709027373822e-05,0.0012720106902693,0.0002060036293683,0.0145318170909767,0.8700157929583591,9.574603200558852e-05,0.2610468874545284,v1.0.0,PASS
2026-02-15,11,2026-02-15 11:00:00,0.0033958752891696,0.0006992796715814,0.0017289849310921,2.9125979050286203e-05,0.0011170140816144,0.0001895511590588,0.0149682805254237,0.8654123371477035,9.573196540855408e-05,0.2596658450846929,v1.0.0,PASS
2026-02-15,12,2026-02-15 12:00:00,0.0035212562583239,0.0004305622012111,0.0186602824071011,0.0002578940063763,0.0011170140816144,0.0001895519612113,0.016782925922681,0.8654123371477035,0.001521423808723,0.2602355760805755,v1.0.0,PASS
2026-02-15,13,2026-02-15 13:00:00,0.0040591847034673,0.0005397793945921,0.0087230152878655,0.0002378909040772,0.0011170140816144,0.0001895405350553,0.0149682762758223,0.8707837249441153,0.0013895158143336,0.2617942031594585,v1.0.0,PASS
2026-02-15,14,2026-02-15 14:00:00,0.0024716467958777,0.0003803443870523,0.0087230152878655,0.0006169346982089,0.0011368728185876,0.0001895405350553,0.017889692670936,0.8045371597452288,9.659195985950268e-05,0.2414046697846743,v1.0.0,PASS
